;TRADE_DATETIME;INSTRUMENT;LIQUIDITY_PARTNER;SIDE;BOUGHTCCY;BOUGHTAMT;SOLDCCY;SOLDAMT;SPOT_DATE;MATURITY_DATE;MATURITY;MATURITY_GROUPS;CCYPAIR;RIC;PRICE
0;2023-10-31 08:04:02;Spot;Barclays;Buy;NOK;5908585.0;EUR;500000.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;EUR/NOK;EURNOK=;11.81717
1;2023-10-31 08:04:02;Spot;UBS;Buy;NOK;11817152.0;EUR;1000000.17;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;EUR/NOK;EURNOK=;11.8171499910845
2;2023-10-31 08:04:02;Spot;Deutsche Bank;Buy;NOK;4274263.0;EUR;361710.7;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;EUR/NOK;EURNOK=;11.816800000663513
3;2023-10-31 08:14:43;Spot;JP Morgan;Sell;DKK;2815572.0;USD;400000.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;USD/DKK;USDDKK=;7.03893
4;2023-10-31 08:54:14;Spot;Deutsche Bank;Sell;PLN;4450800.0;EUR;1000000.0;2023-11-03 00:00:00;2023-11-03 00:00:00;3;<1W;EUR/PLN;EURPLN=;4.4508
5;2023-10-31 09:19:58;Spot;JP Morgan;Buy;USD;500000.0;DKK;3511420.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;USD/DKK;USDDKK=;7.02284
6;2023-10-31 09:28:39;Spot;Deutsche Bank;Sell;DKK;631213.5;SEK;1000000.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;SEK/DKK;SEKDKK=;0.6312135
7;2023-10-31 09:29:45;Spot;UBS;Sell;DKK;839580.0;PLN;500000.0;2023-11-03 00:00:00;2023-11-03 00:00:00;3;<1W;PLN/DKK;PLNDKK=;1.67916
8;2023-10-31 10:06:50;Spot;Deutsche Bank;Sell;DKK;700000.0;JPY;15003100.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;JPY/DKK;JPYDKK=;0.04665702421499557
9;2023-10-31 10:06:50;Spot;UBS;Sell;DKK;1131251.15;JPY;24246400.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;JPY/DKK;JPYDKK=;0.04665645827834235
10;2023-10-31 10:06:50;Spot;Deutsche Bank;Sell;DKK;100000.0;JPY;2143300.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;JPY/DKK;JPYDKK=;0.04665702421499557
11;2023-10-31 10:06:50;Spot;Deutsche Bank;Sell;DKK;100000.0;JPY;2143350.0;2023-11-02 00:00:00;2023-11-02 00:00:00;2;<1W;JPY/DKK;JPYDKK=;0.04665593580143234
