,TRADE_DATETIME,TRADE_MONTH,INSTRUMENT,COUNTERPARTY,SIDE,BOUGHTCCY,BOUGHTAMT,SOLDCCY,SOLDAMT,XRATE,INTERBANKSPOTRATE,INTERBANKRATE,MATURITY_DATE,MATURITY,MATURITY_GROUPS,CCYPAIR,RIC,PRICE
0,2023-11-24 10:48:50,2023-11-01,Forward,7N7_ATL,Buy,DKK,450000.0,EUR,60296.66,7.4631,7.4569,7.4572577,2023-11-24,0,0D,EUR/DKK,EURDKK=,7.463099946166172
1,2023-11-15 12:16:56,2023-11-01,Forward,9_9_1949,Buy,USD,6000.0,DKK,41184.0,6.864,6.86857,6.8692224,2023-11-15,0,0D,USD/DKK,USDDKK=,6.864
2,2023-11-15 12:16:35,2023-11-01,Forward,9_9_1949,Buy,EUR,30000.0,DKK,223596.0,7.4532,7.45914,7.4592859,2023-11-15,0,0D,EUR/DKK,EURDKK=,7.4532
3,2023-11-24 10:51:35,2023-11-01,Forward,AALB_LUFTHAV,Sell,DKK,1493441.62,EUR,200000.0,7.4672081,7.4569,7.4572581,2023-11-24,0,0D,EUR/DKK,EURDKK=,7.467208100000001
4,2023-11-06 11:20:40,2023-11-01,Forward,AARSTIDERNE,Sell,DKK,895579.85,EUR,120000.0,7.4631654,7.45896,7.4591854,2023-11-06,0,0D,EUR/DKK,EURDKK=,7.4631654166666666
5,2023-11-13 12:26:14,2023-11-01,Forward,AARSTIDERNE,Sell,DKK,1903330.17,EUR,255000.0,7.4640399,7.45985,7.4600599,2023-11-13,0,0D,EUR/DKK,EURDKK=,7.464039882352941
6,2023-11-20 10:37:18,2023-11-01,Forward,AARSTIDERNE,Sell,DKK,1149202.27,EUR,154000.0,0.134006,0.13411,0.134106,2023-11-20,0,0D,EUR/DKK,EURDKK=,7.462352402597403
7,2023-11-27 11:44:36,2023-11-01,Forward,AARSTIDERNE,Sell,DKK,1939496.81,EUR,260000.0,7.4596031,7.45543,7.4556231,2023-11-27,0,0D,EUR/DKK,EURDKK=,7.459603115384615
8,2023-10-31 14:37:46,2023-10-01,Forward,AARSTIDERNE,Sell,DKK,911191.16,EUR,122000.0,7.46878,7.4648,7.4648,2023-10-31,0,0D,EUR/DKK,EURDKK=,7.468780000000001
9,2023-11-16 10:27:58,2023-11-01,Forward,AARSTIDERNE,Sell,DKK,74636.69,EUR,10000.0,7.4636686,7.45936,7.4596886,2023-11-16,0,0D,EUR/DKK,EURDKK=,7.463669
