,RIC,TRADETIME,RIC2,TRADEID,TRADE_MONTH,MATURITY_DATE,INSTRUMENT,BOUGHTCCY,BOUGHTAMT,SOLDCCY,SOLDAMT,PORS,CCYPAIR,COUNTERPARTY,MATURITY_GROUP,PRICE,SIDE,INTERBANKSPOT,FWDPOINTS,BID,ASK,USDAMT,DECAY_TIME,DECAY
0,CHFDKK=R,2023-12-22T09:20:02,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9144,7.9144,226590.98572419802,-2,1.0000379070266991
1,CHFDKK=R,2023-12-22T09:20:03,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9144,7.9144,226590.98572419802,1,1.0000379070266991
2,CHFDKK=R,2023-12-22T09:20:04,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9141,7.9141,226590.98572419802,0,1.0
3,CHFDKK=R,2023-12-22T09:20:05,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9145,7.9145,226590.98572419802,2,1.0000505427022657
4,CHFDKK=R,2023-12-22T09:20:10,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9144,7.9144,226590.98572419802,5,1.0000379070266991
5,CHFDKK=R,2023-12-22T09:20:20,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9159,7.9159,226590.98572419802,10,1.000227442160195
6,CHFDKK=R,2023-12-22T09:20:40,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9144,7.9144,226590.98572419802,20,1.0000379070266991
7,CHFDKK=R,2023-12-22T09:21:10,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9141,7.9141,226590.98572419802,30,1.0
8,CHFDKK=R,2023-12-22T09:22:10,DKK=,0006851851,2023-12-01,2023-12-27,Forward,DKK,1534859.36,CHF,194000.0,S,CHF/DKK,ROSSING_APS,<1W,7.911646185567011,Sell,7.91193,-4.037999999999542,7.9132,7.9132,226590.98572419802,60,0.9998862789199023
9,CHFDKK=R,2023-12-22T15:18:52,DKK=,0006852190,2023-12-01,2024-02-29,Forward,CHF,500000.0,DKK,3975242.5,P,CHF/DKK,CARSTEN_OVLI,3M,7.950485,Buy,7.93,260.3500000000025,7.9126,7.9126,588419.2101601587,-2,1.0
