,DKK6MD=,DKK6MD=,EUR6MD=,EUR6MD=,USD6MD=,USD6MD=,DKK3MD=,DKK3MD=,EUR3MD=,EUR3MD=,USD3MD=,USD3MD=,DKKOND=,DKKOND=,EUROND=,EUROND=,USDOND=,USDOND=
,BID,ASK,BID,ASK,BID,ASK,BID,ASK,BID,ASK,BID,ASK,BID,ASK,BID,ASK,BID,ASK
Date,,,,,,,,,,,,,,,,,,
2023-01-02,2.37,2.57,2.75,2.85,5.05,5.25,1.3,1.5,2.15,2.35,4.67,4.87,1.65,1.85,1.85,1.95,4.31,4.36
2023-01-03,2.35,2.55,2.84,2.91,5.19,5.59,1.3,1.5,2.25,2.4,4.65,4.9,1.73,1.98,1.85,1.95,4.24,4.49
2023-01-04,2.35,2.55,2.83,2.91,4.95,5.2,1.3,1.5,2.37,2.57,4.64,4.89,1.65,1.85,1.85,1.95,4.24,4.49
2023-01-05,2.34,2.54,2.88,2.95,5.0,5.25,1.73,2.17,2.25,2.45,4.7,4.95,1.65,1.85,1.85,1.95,4.35,4.55
2023-01-06,2.34,2.54,2.87,2.95,4.96,5.21,1.74,2.16,2.3,2.5,4.86,4.92,1.65,1.85,1.87,2.07,4.24,4.49
2023-01-09,2.37,2.57,2.88,2.96,4.95,5.2,1.3,1.5,2.3,2.4,4.69,4.94,1.4,1.9,1.85,1.95,4.3,4.5
2023-01-10,2.39,2.59,2.85,2.95,4.97,5.22,1.3,1.5,2.25,2.35,4.69,4.94,1.65,1.85,1.85,1.95,4.3,4.5
2023-01-11,2.42,2.62,2.87,2.95,5.16,5.24,1.77,2.14,2.25,2.6,4.84,4.9,1.65,1.85,1.87,2.07,4.3,4.49
2023-01-12,2.43,2.63,2.91,2.99,4.96,5.21,1.79,2.16,2.3,2.5,4.69,4.94,1.65,1.85,1.87,2.07,4.3,4.49
2023-01-13,2.44,2.64,2.77,2.97,4.95,5.2,1.79,2.16,2.35,2.55,4.69,4.94,1.65,1.85,1.9,2.1,4.25,4.5
2023-01-16,2.46,2.66,2.85,2.95,4.92,5.22,2.05,2.2,2.35,2.45,4.76,5.06,1.65,1.85,1.87,2.07,4.3,4.5
2023-01-17,2.44,2.64,2.85,2.95,4.9,5.1,2.05,2.2,2.3,2.55,4.71,4.96,1.65,1.85,1.85,1.95,4.24,4.49
2023-01-18,2.44,2.64,2.91,2.99,4.92,5.17,1.84,2.26,2.28,2.53,4.63,4.88,1.65,1.85,1.85,1.95,4.3,4.49
2023-01-19,2.52,2.72,2.85,2.95,4.91,5.16,1.84,2.26,2.4,2.6,4.68,4.93,1.65,1.85,1.87,2.07,4.3,4.5
2023-01-20,2.52,2.72,2.8,3.0,4.91,5.16,1.93,2.37,2.45,2.65,4.69,4.94,1.65,1.85,1.87,2.07,4.3,4.49
2023-01-23,2.54,2.74,2.9,3.0,4.91,5.16,1.99,2.36,2.4,2.5,4.7,4.95,1.4,1.9,1.87,2.07,4.3,4.5
2023-01-24,2.58,2.78,2.9,3.0,4.94,5.19,1.99,2.36,2.4,2.5,4.7,4.95,1.65,1.85,1.87,2.07,4.3,4.49
2023-01-25,2.58,2.78,2.9,3.0,4.95,5.2,1.99,2.36,2.45,2.55,4.7,4.95,1.65,1.85,1.76,1.86,4.3,4.49
2023-01-26,2.58,2.78,2.9,3.0,4.94,5.19,1.99,2.36,2.45,2.55,4.7,4.95,1.4,1.9,1.85,1.95,4.3,4.49
2023-01-27,2.58,2.78,2.95,3.05,5.01,5.21,1.98,2.37,2.5,2.6,4.72,4.92,1.65,1.85,1.85,1.95,4.24,4.49
2023-01-30,2.6,2.8,3.08,3.15,4.92,5.17,2.09,2.46,2.55,2.65,4.74,4.99,1.4,1.9,1.87,2.07,4.3,4.49
2023-01-31,2.62,2.82,3.08,3.16,4.92,5.17,2.08,2.47,2.59,2.73,4.75,5.0,1.65,1.85,1.82,2.07,4.25,4.5
2023-02-01,2.62,2.82,3.1,3.17,4.91,5.16,2.08,2.47,2.48,2.83,4.72,4.97,1.65,1.85,1.87,2.07,4.3,4.5
2023-02-02,2.6,2.8,3.09,3.17,4.9,5.15,2.09,2.46,2.55,2.65,4.69,4.94,2.18,2.43,1.85,1.95,4.5,4.7
2023-02-03,2.57,2.77,2.95,3.14,4.95,5.2,2.09,2.46,2.7,2.86,4.7,4.95,1.75,2.25,1.87,2.07,4.5,4.69
2023-02-06,2.59,2.79,3.14,3.22,5.14,5.22,2.32,2.47,2.65,2.75,4.85,4.91,1.65,1.85,1.87,2.07,4.5,4.69
2023-02-07,2.58,2.78,3.16,3.24,4.97,5.22,2.32,2.47,2.65,2.75,4.71,4.96,2.0,2.2,1.87,2.07,4.5,4.69
2023-02-08,2.61,2.81,3.16,3.36,5.16,5.24,2.32,2.47,2.65,2.75,4.86,4.92,2.0,2.2,2.3,2.4,4.5,4.7
2023-02-09,2.61,2.81,3.05,3.15,5.02,5.27,2.32,2.47,2.65,2.75,4.73,4.98,2.0,2.2,2.35,2.45,4.5,4.69
2023-02-10,2.65,2.85,3.07,3.27,5.02,5.27,2.32,2.47,2.62,2.97,4.72,4.97,2.0,2.2,2.35,2.55,4.5,4.69
2023-02-13,2.64,2.84,3.05,3.15,5.02,5.27,2.32,2.47,2.65,2.75,4.75,5.0,2.0,2.2,2.35,2.45,4.5,4.7
2023-02-14,2.66,2.86,3.05,3.15,5.05,5.3,2.32,2.47,2.65,2.75,4.75,5.0,2.0,2.2,2.35,2.45,4.5,4.7
2023-02-15,2.7,2.9,3.25,3.32,5.06,5.31,2.32,2.47,2.81,3.01,4.75,5.0,2.0,2.2,2.35,2.45,4.5,4.69
2023-02-16,2.73,2.93,3.15,3.25,5.21,5.29,2.18,2.57,2.67,3.02,4.89,4.95,2.0,2.2,2.35,2.55,4.49,4.74
2023-02-17,2.73,2.93,3.1,3.29,5.13,5.33,2.18,2.57,2.75,2.95,4.83,5.03,2.0,2.2,2.37,2.57,4.49,4.74
2023-02-20,2.73,2.93,3.15,3.25,5.1,5.35,2.19,2.56,2.62,2.72,4.77,5.02,2.0,2.2,2.35,2.45,4.56,4.61
2023-02-21,2.75,2.95,3.15,3.25,5.24,5.32,2.23,2.62,2.75,2.85,4.89,4.95,2.18,2.43,2.35,2.45,4.5,4.7
2023-02-22,2.76,2.96,3.15,3.25,5.12,5.37,2.24,2.61,2.75,2.85,4.8,5.05,2.0,2.2,2.35,2.45,4.5,4.7
2023-02-23,2.78,2.98,3.2,3.4,5.15,5.4,2.23,2.62,2.75,2.85,4.82,5.07,2.0,2.2,2.35,2.45,4.5,4.7
2023-02-24,2.8,3.0,3.23,3.31,5.16,5.41,2.23,2.62,2.88,2.96,4.86,5.11,2.0,2.2,2.37,2.57,4.5,4.7
2023-02-27,2.81,3.01,3.15,3.25,5.17,5.42,2.28,2.67,2.77,3.12,4.86,5.11,1.8,2.3,2.35,2.45,4.5,4.69
2023-02-28,2.82,3.02,3.2,3.3,5.27,5.35,2.28,2.67,2.8,2.9,4.96,5.02,2.0,2.2,2.35,2.54,4.5,4.69
2023-03-01,2.86,3.06,3.2,3.3,5.29,5.37,2.28,2.67,2.8,2.9,4.99,5.05,2.0,2.2,2.35,2.45,4.5,4.7
2023-03-02,2.92,3.12,3.47,3.54,5.31,5.39,2.28,2.67,2.8,2.9,5.01,5.07,2.0,2.2,2.35,2.45,4.5,4.7
2023-03-03,2.95,3.15,3.32,3.52,5.29,5.37,2.39,2.76,2.9,3.08,5.02,5.08,2.0,2.2,2.37,2.57,4.5,4.7
2023-03-06,2.94,3.14,3.25,3.35,5.24,5.49,2.34,2.71,3.0,3.15,4.95,5.2,2.0,2.2,2.35,2.45,4.5,4.69
2023-03-07,2.98,3.18,3.56,3.63,5.38,5.58,2.43,2.82,2.9,3.12,5.07,5.27,2.0,2.2,2.35,2.54,4.5,4.7
2023-03-08,3.03,3.23,3.55,3.63,5.45,5.7,2.43,2.82,3.0,3.2,5.1,5.35,2.0,2.2,2.35,2.45,4.49,4.74
2023-03-09,3.03,3.23,3.54,3.62,5.46,5.71,2.43,2.82,2.95,3.05,5.13,5.38,1.9,2.3,2.35,2.45,4.5,4.7
2023-03-10,2.92,3.12,3.44,3.51,5.32,5.52,2.43,2.82,2.94,3.19,5.1,5.3,2.0,2.2,2.35,2.55,4.5,4.7
2023-03-13,2.74,2.94,3.1,3.17,4.91,5.11,2.34,2.91,2.8,2.9,4.86,5.06,2.0,2.2,2.37,2.57,4.49,4.74
2023-03-14,2.73,2.93,3.08,3.33,5.04,5.29,2.34,2.91,2.87,3.12,4.96,5.21,2.0,2.2,2.36,2.56,4.54,4.74
2023-03-15,2.62,2.82,3.08,3.15,4.92,5.17,2.28,2.87,2.75,2.87,4.83,5.03,2.0,2.2,2.37,2.57,4.49,4.74
2023-03-16,2.74,2.94,3.25,3.33,5.06,5.33,2.28,2.87,2.94,3.06,5.13,5.33,2.0,2.2,2.37,2.57,4.49,4.74
2023-03-17,2.76,2.96,3.16,3.23,5.02,5.21,2.28,2.87,2.92,3.04,5.1,5.3,2.55,2.75,2.37,2.57,4.49,4.74
2023-03-20,2.74,2.94,3.2,3.28,5.0,5.25,2.32,2.47,2.9,3.0,5.12,5.37,2.55,2.75,2.37,2.57,4.49,4.74
2023-03-21,2.79,2.99,3.11,3.36,5.04,5.29,2.23,2.87,2.9,3.0,5.06,5.31,2.55,2.75,2.4,2.6,4.55,4.75
2023-03-22,2.85,3.05,3.34,3.41,5.1,5.35,2.23,2.87,2.9,3.0,5.08,5.33,2.68,2.93,2.87,3.07,4.49,4.74
2023-03-23,2.89,3.09,3.32,3.4,5.06,5.26,2.23,2.87,2.95,3.05,5.05,5.3,2.3,2.7,2.89,3.05,4.75,4.95
2023-03-24,2.78,2.98,3.29,3.37,5.15,5.23,2.23,2.87,2.99,3.11,5.18,5.28,2.3,2.7,2.87,3.07,4.74,4.99
2023-03-27,2.79,2.99,3.15,3.25,5.0,5.25,2.33,2.92,2.95,3.05,5.08,5.33,2.3,2.7,2.87,3.07,4.74,4.99
2023-03-28,2.93,3.13,3.3,3.4,5.1,5.35,2.33,2.92,3.0,3.1,5.08,5.33,2.55,2.75,2.87,3.07,4.74,4.99
2023-03-29,2.93,3.13,3.35,3.45,5.12,5.37,2.33,2.92,3.0,3.1,5.1,5.35,2.55,2.75,2.87,3.07,4.74,4.99
2023-03-30,2.91,3.11,3.3,3.4,5.09,5.34,2.33,2.92,3.0,3.1,5.07,5.32,2.55,2.75,2.8,2.9,4.74,4.99
2023-03-31,2.92,3.12,3.4,3.47,5.14,5.39,2.39,2.91,3.05,3.25,5.09,5.34,2.55,2.75,2.85,3.04,4.74,4.99
2023-04-03,2.93,3.13,3.35,3.45,5.12,5.37,2.67,2.82,3.1,3.2,5.06,5.31,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-04,2.94,3.14,3.45,3.55,5.31,5.39,2.67,2.82,3.1,3.2,5.03,5.28,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-05,2.93,3.13,3.4,3.5,5.29,5.37,2.67,2.82,3.1,3.2,5.23,5.32,2.35,2.75,2.85,2.95,4.74,4.99
2023-04-06,2.92,3.12,3.4,3.5,5.26,5.46,2.39,2.91,3.15,3.25,4.92,5.1,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-07,2.92,3.12,3.27,3.45,5.38,5.58,2.39,2.91,3.06,3.24,5.21,5.41,2.55,2.75,2.87,3.07,4.74,4.99
2023-04-10,2.9,3.1,3.35,3.45,5.38,5.58,2.67,2.82,3.15,3.25,5.21,5.41,2.55,2.75,2.85,3.2,4.74,4.99
2023-04-11,2.96,3.16,3.35,3.45,5.15,5.4,2.67,2.82,3.15,3.25,5.11,5.36,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-12,2.96,3.16,3.45,3.55,5.12,5.37,2.67,2.82,3.2,3.3,5.12,5.37,2.35,2.75,2.85,2.95,4.74,4.99
2023-04-13,2.97,3.17,3.55,3.65,5.08,5.33,2.67,2.82,3.2,3.3,5.09,5.34,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-14,2.96,3.16,3.5,3.7,5.48,5.58,2.54,3.06,3.2,3.4,5.1,5.35,2.55,2.75,2.87,3.07,4.74,4.99
2023-04-17,3.04,3.24,3.55,3.65,5.31,5.51,2.53,3.07,3.15,3.4,5.13,5.38,2.35,2.75,2.85,2.95,4.74,4.99
2023-04-18,3.06,3.26,3.6,3.7,5.33,5.53,2.54,3.06,3.25,3.35,5.12,5.37,2.63,2.88,2.85,2.95,4.74,4.99
2023-04-19,3.07,3.27,3.6,3.7,5.47,5.87,2.63,3.17,3.33,3.49,5.13,5.38,2.45,2.85,2.85,2.95,4.74,4.99
2023-04-20,3.1,3.3,3.6,3.7,5.35,5.55,2.64,3.16,3.25,3.35,5.17,5.37,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-21,3.1,3.3,3.65,3.72,5.24,5.49,2.64,3.16,3.17,3.42,5.13,5.38,2.55,2.75,2.87,3.07,4.74,4.99
2023-04-24,3.12,3.32,3.6,3.7,5.24,5.49,2.63,3.17,3.25,3.35,5.13,5.38,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-25,3.16,3.36,3.65,3.75,5.24,5.49,2.63,3.17,3.25,3.35,5.15,5.4,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-26,3.14,3.34,3.6,3.7,5.42,5.52,2.64,3.16,3.25,3.35,5.31,5.39,2.68,2.93,2.85,2.95,4.74,4.99
2023-04-27,3.13,3.33,3.6,3.7,5.26,5.51,2.63,3.17,3.25,3.35,5.18,5.43,2.55,2.75,2.85,2.95,4.74,4.99
2023-04-28,3.15,3.35,3.61,3.69,5.36,5.56,2.63,3.17,3.3,3.5,5.23,5.48,2.55,2.75,2.85,3.05,4.85,5.04
2023-05-01,2.9,3.1,3.6,3.7,5.46,5.86,2.67,2.82,3.25,3.35,5.24,5.44,2.55,2.75,2.9,3.0,4.74,4.99
2023-05-02,3.14,3.34,3.6,3.7,5.32,5.42,2.67,2.82,3.25,3.35,5.28,5.35,2.2,2.6,2.9,3.0,4.74,4.99
