Date,.SP500,.OMXC20,.GDAXI
2023-01-02,,1858.25,14069.26
2023-01-03,3824.1382,1885.79,14181.67
2023-01-04,3852.9656,1870.37,14490.78
2023-01-05,3808.1029,1860.81,14436.31
2023-01-06,3895.0756,1872.98,14610.02
2023-01-09,3892.091,1874.22,14792.83
2023-01-10,3919.2534,1836.72,14774.6
2023-01-11,3969.6141,1821.45,14947.91
2023-01-12,3983.1665,1828.17,15058.3
2023-01-13,3999.0908,1845.26,15086.52
2023-01-16,,1879.05,15134.04
2023-01-17,3990.9701,1880.59,15187.07
2023-01-18,3928.8623,1888.13,15181.8
2023-01-19,3898.8548,1862.71,14920.36
2023-01-20,3972.6105,1868.18,15033.56
2023-01-23,4019.8141,1871.48,15102.95
2023-01-24,4016.9497,1859.11,15093.11
2023-01-25,4016.2192,1827.74,15081.64
2023-01-26,4060.4274,1827.38,15132.85
2023-01-27,4070.5583,1833.04,15150.03
2023-01-30,4017.7726,1850.94,15126.08
2023-01-31,4076.6038,1834.53,15128.27
2023-02-01,4119.2104,1845.92,15180.74
2023-02-02,4179.7556,1838.53,15509.19
2023-02-03,4136.4816,1877.27,15476.43
2023-02-06,4111.0809,1885.72,15345.91
2023-02-07,4163.9996,1891.21,15320.88
2023-02-08,4117.8648,1908.78,15412.05
2023-02-09,4081.5046,1915.11,15523.42
2023-02-10,4090.462,1900.8,15307.98
2023-02-13,4137.2871,1928.3,15397.34
2023-02-14,4136.133,1927.82,15380.56
2023-02-15,4147.6029,1926.67,15506.34
2023-02-16,4090.409,1912.67,15533.64
2023-02-17,4079.0947,1926.64,15482.0
2023-02-20,,1928.79,15477.55
2023-02-21,3997.3368,1943.12,15397.62
2023-02-22,3991.0477,1929.57,15399.89
2023-02-23,4012.3232,1937.31,15475.69
2023-02-24,3970.0368,1927.09,15209.74
2023-02-27,3982.2403,1945.99,15381.43
2023-02-28,3970.1534,1932.5,15365.14
2023-03-01,3951.3943,1939.14,15305.02
2023-03-02,3981.3523,1942.96,15327.64
2023-03-03,4045.6376,1952.36,15578.39
2023-03-06,4048.4178,1952.47,15653.58
2023-03-07,3986.3728,1950.67,15559.53
2023-03-08,3992.0132,1923.91,15631.87
2023-03-09,3918.3214,1948.86,15633.21
2023-03-10,3861.5899,1914.96,15427.97
2023-03-13,3855.7619,1885.68,14959.47
2023-03-14,3919.287,1909.73,15232.83
2023-03-15,3891.9267,1891.44,14735.26
2023-03-16,3960.2811,1879.94,14967.1
2023-03-17,3916.6372,1872.88,14768.2
2023-03-20,3951.5689,1891.75,14933.38
2023-03-21,4002.8735,1917.6,15195.34
2023-03-22,3936.9714,1933.59,15216.19
2023-03-23,3948.7237,1947.61,15210.39
2023-03-24,3970.9864,1950.45,14957.23
2023-03-27,3977.5282,1976.34,15127.68
2023-03-28,3971.2702,1964.95,15142.02
2023-03-29,4027.8118,1988.71,15328.78
2023-03-30,4050.8291,2009.05,15522.4
2023-03-31,4109.3124,2013.72,15628.84
2023-04-03,4124.506,2001.84,15580.92
2023-04-04,4100.599,1998.19,15603.47
2023-04-05,4090.3753,1988.05,15520.17
2023-04-06,4105.0187,,15597.89
2023-04-10,4109.1124,,
2023-04-11,4108.941,1998.99,15655.17
2023-04-12,4091.9541,2020.58,15703.6
2023-04-13,4146.2161,2045.8,15729.46
2023-04-14,4137.6387,2085.25,15807.5
2023-04-17,4151.3224,2111.68,15789.53
2023-04-18,4154.8701,2105.86,15882.67
2023-04-19,4154.519,2065.74,15895.2
2023-04-20,4129.7924,2059.39,15795.97
2023-04-21,4133.5213,2107.59,15881.66
2023-04-24,4137.0446,2100.22,15863.95
2023-04-25,4071.6304,2092.31,15872.13
2023-04-26,4055.9878,2034.57,15795.73
2023-04-27,4135.3522,2052.34,15800.45
2023-04-28,4169.4814,2062.86,15922.38
2023-05-01,4167.8669,2078.25,
2023-05-02,4119.5804,2066.38,15726.94
2023-05-03,4090.7522,2059.25,15815.06
2023-05-04,4061.2169,2031.07,15734.24
2023-05-05,4136.2534,,15961.02
2023-05-08,4138.123,2093.53,15952.83
2023-05-09,4119.1734,2080.18,15955.48
2023-05-10,4137.6422,2087.71,15896.23
2023-05-11,4130.6213,2105.6,15834.91
2023-05-12,4124.081,2137.81,15913.82
2023-05-15,4136.2842,2130.72,15917.24
2023-05-16,4109.897,2109.01,15897.93
2023-05-17,4158.7708,2106.51,15951.3
2023-05-18,4198.0509,,16163.36
2023-05-19,4191.9798,,16275.38
2023-05-22,4192.6307,2148.56,16223.99
2023-05-23,4145.5752,2098.4,16152.86
2023-05-24,4115.2386,2058.67,15842.13
2023-05-25,4151.2799,2060.36,15793.8
2023-05-26,4205.4525,2079.86,15983.97
2023-05-29,,,15952.73
